"Vote","PID3","georgeWBush","barackObama","johnMcCain","cindyMcCain","michelleObama","joeBiden","sarahPalin","hispanics","christianFundamentalists","catholics","feminists","federalGovernment","jews","liberals","middleClassPeople","laborUnions","poorPeople","theMilitary","bigBusiness","peopleOnWelfare","conservatives","workingClassPeople","environmentalists","theUSSupremeCourt","gayMenAndLesbians","asianAmericans","congress","blacks","southerners","illegalImmigrants","richPeople","whites","israel","muslims","hindus","christians","athiests","hillaryClinton","billClinton","condoleezaRice","rushLimbaugh","republicanParty","democraticParty"
NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,100,70,40,40,100
"Obama","Democrat",30,70,30,50,50,50,30,60,50,60,50,50,50,50,100,70,70,85,50,0,50,100,60,50,100,50,50,50,50,100,15,50,50,50,50,60,50,50,50,50,50,40,70
"McCain","Republican",70,60,60,70,50,50,70,60,85,70,40,50,70,30,100,40,60,100,70,50,85,70,40,70,40,60,40,50,50,50,50,70,100,40,50,85,50,50,40,100,60,70,0
NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,85,NA,65,40,60
"Obama","Other",40,85,85,50,70,70,70,100,100,100,100,60,100,100,100,100,70,50,70,NA,NA,100,100,100,100,100,100,100,100,100,70,100,100,85,100,85,70,85,85,70,30,30,70
NA,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,70,NA,NA,NA,60
NA,"Other",85,100,15,15,NA,NA,50,60,85,50,100,50,15,50,70,50,85,100,70,100,50,85,50,70,15,50,50,85,50,85,15,50,0,50,15,100,15,100,0,NA,60,100,0
"Obama","Democrat",15,100,40,50,100,85,30,70,30,60,70,70,50,85,70,70,70,60,30,70,30,85,85,50,50,85,70,50,70,30,30,60,70,50,50,50,60,70,70,30,0,15,85
NA,"Republican",60,85,50,50,50,50,50,50,50,50,50,50,60,50,50,50,50,60,50,50,50,50,50,50,50,50,60,50,50,50,50,50,50,50,50,60,0,85,85,NA,15,0,85
"Obama","Democrat",40,100,50,40,100,85,30,100,50,85,70,85,85,85,85,50,85,85,70,40,60,100,100,85,70,70,100,85,70,85,60,85,60,60,85,70,70,100,100,50,NA,50,100
"Obama","Other",0,70,15,50,70,60,15,100,85,70,85,60,100,100,100,85,100,50,50,50,15,100,70,70,100,100,70,100,100,85,50,100,85,100,100,85,60,70,70,15,50,15,50
"Obama","Democrat",0,70,15,NA,70,NA,50,85,50,70,50,60,70,50,70,60,85,50,50,50,50,85,70,70,85,70,60,70,50,70,50,70,50,50,50,40,50,100,100,0,60,30,85
"Obama","Other",15,50,50,50,50,50,NA,100,50,100,50,50,0,60,100,60,50,100,40,0,60,100,85,50,50,50,15,15,100,70,50,50,50,50,50,40,50,0,100,50,NA,0,0
"McCain","Democrat",0,40,85,50,50,40,15,70,40,0,15,30,70,85,85,100,70,100,30,15,40,85,85,40,15,70,60,60,15,0,60,40,85,15,60,0,50,85,70,50,30,85,70
"Obama","Democrat",15,60,15,50,50,NA,40,70,40,70,70,60,60,60,70,60,40,85,85,0,60,85,70,70,70,70,40,60,70,60,60,60,60,60,60,40,60,85,70,60,NA,40,60
NA,"Democrat",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,50,50,50,50,50,60,60,40,50,50,50,50,50,50,50,50,50,50,50,50,50,60,70,50,40,40,60
NA,"Other",70,100,60,85,100,100,60,100,70,100,70,100,60,60,85,85,85,100,100,70,70,85,85,85,30,85,85,85,70,70,70,85,70,60,60,70,70,85,85,70,70,60,85
"Obama","Democrat",85,100,85,NA,NA,NA,NA,85,70,85,85,70,70,60,70,85,85,70,70,70,70,85,85,70,40,70,85,70,NA,85,70,70,70,60,NA,70,15,85,85,NA,60,85,100
"Obama","Other",0,85,50,50,85,50,50,85,NA,60,60,50,60,50,70,60,60,60,85,40,60,85,50,60,0,60,60,50,50,70,85,70,60,30,60,60,50,15,70,50,50,30,50
"Obama","Democrat",0,85,30,50,50,85,15,85,15,40,60,0,60,70,70,60,60,30,15,40,15,70,70,30,70,60,40,60,40,60,50,70,60,50,50,40,50,85,100,50,0,0,70
"Obama","Democrat",0,85,15,15,85,85,30,85,40,85,85,70,60,60,70,60,100,40,70,40,40,100,60,85,100,60,40,70,60,85,60,60,60,15,40,70,60,85,85,60,30,40,85
"Obama","Democrat",30,100,30,50,85,100,50,60,70,85,85,50,85,70,85,100,100,100,70,70,50,100,70,30,40,50,50,70,85,50,70,85,70,60,50,85,50,85,85,60,15,30,70
"Obama",NA,30,70,30,30,70,70,30,85,60,60,60,60,60,60,85,85,70,85,50,50,60,85,85,60,60,60,60,60,60,60,60,60,60,60,60,60,60,85,100,70,85,70,70
NA,"Democrat",60,85,70,60,70,NA,50,70,60,85,NA,85,70,60,70,70,60,100,70,60,60,85,60,70,60,70,85,60,NA,50,70,85,60,50,NA,70,NA,100,100,NA,NA,60,70
"Obama","Democrat",15,100,50,50,100,100,50,50,50,50,85,70,50,50,70,100,70,70,50,70,50,100,50,NA,50,50,60,85,70,50,50,50,50,50,50,70,0,85,70,60,0,0,100
